img_name,labels,ids,x_min,y_min,width,height,img_path
VOC2007/JPEGImages/000007.jpg,1,5,140,49,359,280,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000007.jpg
VOC2007/JPEGImages/000012.jpg,1,10,155,96,195,173,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000012.jpg
VOC2007/JPEGImages/000020.jpg,1,16,32,147,338,268,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000020.jpg
VOC2007/JPEGImages/000026.jpg,1,28,89,124,247,87,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000026.jpg
VOC2007/JPEGImages/000047.jpg,1,55,14,0,444,311,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000047.jpg
VOC2007/JPEGImages/000060.jpg,1,78,0,136,426,196,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000060.jpg
VOC2007/JPEGImages/000060.jpg,1,79,0,61,478,173,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000060.jpg
VOC2007/JPEGImages/000060.jpg,1,80,0,26,421,114,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000060.jpg
VOC2007/JPEGImages/000060.jpg,1,81,43,6,414,127,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000060.jpg
VOC2007/JPEGImages/000060.jpg,1,82,198,5,276,92,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000060.jpg
VOC2007/JPEGImages/000083.jpg,1,111,108,32,338,276,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000083.jpg
VOC2007/JPEGImages/000091.jpg,1,121,124,240,70,43,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000091.jpg
VOC2007/JPEGImages/000091.jpg,1,122,80,247,24,20,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000091.jpg
VOC2007/JPEGImages/000091.jpg,1,123,90,249,35,24,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000091.jpg
VOC2007/JPEGImages/000131.jpg,1,164,0,98,474,167,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000131.jpg
VOC2007/JPEGImages/000134.jpg,1,172,0,114,486,215,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000134.jpg
VOC2007/JPEGImages/000142.jpg,1,180,25,80,439,185,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000142.jpg
VOC2007/JPEGImages/000153.jpg,1,195,236,146,121,44,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000153.jpg
VOC2007/JPEGImages/000153.jpg,1,196,137,55,28,14,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000153.jpg
VOC2007/JPEGImages/000153.jpg,1,197,46,113,71,11,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000153.jpg
VOC2007/JPEGImages/000153.jpg,1,198,2,108,61,13,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000153.jpg
VOC2007/JPEGImages/000156.jpg,1,202,431,102,64,41,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000156.jpg
VOC2007/JPEGImages/000156.jpg,1,203,403,113,31,29,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000156.jpg
VOC2007/JPEGImages/000159.jpg,1,206,0,15,497,317,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000159.jpg
VOC2007/JPEGImages/000161.jpg,1,207,103,33,342,356,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000161.jpg
VOC2007/JPEGImages/000161.jpg,1,208,67,194,53,93,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000161.jpg
VOC2007/JPEGImages/000169.jpg,1,216,22,27,457,256,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000169.jpg
VOC2007/JPEGImages/000169.jpg,1,218,438,22,61,155,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000169.jpg
VOC2007/JPEGImages/000169.jpg,1,221,11,45,92,86,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000169.jpg
VOC2007/JPEGImages/000180.jpg,1,242,13,109,482,246,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000180.jpg
VOC2007/JPEGImages/000210.jpg,1,289,376,210,27,14,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000210.jpg
VOC2007/JPEGImages/000220.jpg,1,298,39,126,424,165,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000220.jpg
VOC2007/JPEGImages/000220.jpg,1,299,426,113,73,53,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000220.jpg
VOC2007/JPEGImages/000221.jpg,1,301,71,76,360,176,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000221.jpg
VOC2007/JPEGImages/000233.jpg,1,339,0,1,450,191,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000233.jpg
VOC2007/JPEGImages/000245.jpg,1,353,17,130,470,161,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000245.jpg
VOC2007/JPEGImages/000251.jpg,1,366,95,434,179,65,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000251.jpg
VOC2007/JPEGImages/000251.jpg,1,367,361,439,91,60,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000251.jpg
VOC2007/JPEGImages/000251.jpg,1,369,0,473,148,26,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000251.jpg
VOC2007/JPEGImages/000251.jpg,1,370,1,449,81,25,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000251.jpg
VOC2007/JPEGImages/000262.jpg,1,379,342,95,157,100,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000262.jpg
VOC2007/JPEGImages/000263.jpg,1,380,18,223,336,99,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000263.jpg
VOC2007/JPEGImages/000263.jpg,1,381,0,354,68,144,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000263.jpg
VOC2007/JPEGImages/000288.jpg,1,422,29,141,47,63,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000288.jpg
VOC2007/JPEGImages/000289.jpg,1,425,48,98,288,132,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000289.jpg
VOC2007/JPEGImages/000296.jpg,1,428,426,124,73,56,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000296.jpg
VOC2007/JPEGImages/000302.jpg,1,431,278,224,199,115,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000302.jpg
VOC2007/JPEGImages/000302.jpg,1,432,244,229,71,50,/data/tmp_teja/datacv/data/source_pool/voc_train/VOC2007/JPEGImages/000302.jpg
